ENSEMBL	Control1	Control2	Control3	Control4	Control5	Control6	Control7	Control8	Case1	Case2	Case3	Case4	Case5	Case6	Case7	Case8
ENSG00000277099	12	3	4	25	3	30	24	82	2	1	0	6	3	1	2	4
ENSG00000162843	45	44	24	66	64	85	43	121	71	52	38	51	30	34	56	71
ENSG00000288723	2	1	3	1	3	8	0	6	3	1	0	5	4	2	2	4
ENSG00000264720	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000248458	0	0	0	1	4	3	0	1	0	0	0	0	0	1	0	1
ENSG00000152760	12	2	4	9	7	20	4	20	17	41	6	4	8	6	30	4
ENSG00000152763	37	33	24	62	37	64	18	86	51	49	50	36	25	49	47	51
ENSG00000231080	2	0	0	0	0	1	0	3	3	0	1	0	1	1	0	0
ENSG00000118473	74	75	64	96	60	111	81	204	102	91	87	63	47	59	99	151
ENSG00000286174	1	1	5	5	1	5	4	11	0	3	3	5	1	0	2	1
ENSG00000229400	4	3	8	2	4	7	11	17	1	0	3	0	3	2	1	2
ENSG00000225334	0	6	4	15	3	9	3	12	1	0	0	0	2	0	0	1
ENSG00000286719	2	0	0	5	3	6	3	8	2	0	0	0	2	1	1	7
ENSG00000143815	76	33	18	70	134	106	56	162	218	911	72	61	118	326	663	197
ENSG00000234476	0	9	3	14	3	15	7	34	4	1	0	1	10	5	0	1
ENSG00000282418	0	0	0	0	4	0	0	2	0	0	0	0	0	1	0	1
ENSG00000185842	107	104	58	117	128	250	52	206	263	200	169	147	114	156	263	211
ENSG00000222046	10	5	6	17	10	41	5	54	18	10	5	3	5	14	23	8
ENSG00000143479	27	24	25	33	25	43	47	173	42	524	30	25	21	15	20	54
ENSG00000120337	10	10	3	17	19	14	4	17	10	11	11	13	3	6	22	10
ENSG00000162368	72	38	62	95	186	36	136	79	153	375	56	91	133	399	453	173
ENSG00000212916	21	10	2	14	25	67	13	70	83	50	23	34	20	40	78	49
ENSG00000162624	28	21	8	37	22	44	31	80	16	14	9	20	15	18	10	27
ENSG00000117600	37	26	6	41	31	66	25	87	23	19	8	18	8	26	22	25
ENSG00000076864	19	23	2	14	31	67	23	239	75	805	36	35	23	70	107	39
ENSG00000116981	12	11	13	11	11	33	14	69	19	7	11	12	9	13	22	18
